"Student_ID","Major_Category","Year_of_Study","Pre_Semester_GPA","Weekly_GenAI_Hours","Primary_Use_Case","Prompt_Engineering_Skill","Tool_Diversity","Paid_Subscription","Traditional_Study_Hours","Perceived_AI_Dependency","Institutional_Policy","Anxiety_Level_During_Exams","Post_Semester_GPA","Skill_Retention_Score","Burnout_Risk_Level"
103164,"Business","Sophomore",2.806,3.47,"Copywriting/Drafting","Beginner",2,"FALSE",5.23,3,"Strict_Ban",5,2.981,80.08,"Medium"
110045,"Arts","Freshman",3.775,4.76,"Debugging/Troubleshooting","Intermediate",4,"FALSE",9.14,1,"actively_encouraged",4,3.816,72.78,"Low"
143426,"Business","Junior",2.273,3.28,"Debugging/Troubleshooting","Intermediate",2,"FALSE",18.16,3,"Allowed_With_Citation",5,2.634,85.24,"Low"
141329,"Business","Senior",2.75,0.39,"Direct_Answer_Generation","Beginner",2,"TRUE",10.83,1,"Allowed_With_Citation",3,3.161,65.16,"Low"
147566,"Medical","Graduate",3.279,2.82,"Summarizing_Reading","Intermediate",4,"FALSE",6.87,2,"Allowed_With_Citation",3,3.342,NA,"Medium"
128422,"Humanities","Freshman",3.261,10.75,"Ideation","Beginner",1,"TRUE",8.22,4,"Allowed_With_Citation",8,3.342,81.27,"medium"
146361,"Business","Freshman",3.743,3.02,"Ideation","Intermediate",2,"FALSE",15.78,1,"Allowed_With_Citation",3,3.931,90.08,"Low"
115814,"Business","Graduate",3.727,6.21,"Ideation","Intermediate",4,"TRUE",9.5,3,"Actively_Encouraged",2,4,82.16,"High"
118115,"STEM","Graduate",3.207,5.62,"Debugging/Troubleshooting","Beginner",1,"TRUE",4.08,4,"Allowed_With_Citation",2,3.277,65.06,"Medium"
100527,"Humanities","Graduate",2.959,8.82,"Direct_Answer_Generation","Intermediate",3,"FALSE",7.11,5,"Actively_Encouraged",7,2.976,62.25,"High"
101844,"Business","Senior",3.56,6.59,"Ideation","Beginner",2,"FALSE",11.28,4,"Allowed_With_Citation",1,3.795,80.25,"Medium"
148679,"Business","Junior",3.622,2.21,"Direct_Answer_Generation","Advanced",5,"FALSE",13.64,2,"Allowed_With_Citation",3,3.678,59.96,"Low"
120997,"Arts","Sophomore",3.125,6.01,"Summarizing_Reading","Intermediate",3,"FALSE",1,3,"Strict_Ban",3,2.672,50.2,"Low"
135653,"Humanities","Freshman",2.465,4.59,"Debugging/Troubleshooting","Intermediate",2,"FALSE",14.27,1,"Allowed_With_Citation",4,2.757,77.63,"Medium"
117010,"Business","Sophomore",2.355,10.5,"Summarizing_Reading","Intermediate",5,"TRUE",7.97,2,"Allowed_With_Citation",3,2.536,87.4,"Medium"
120735,"Humanities","Graduate",3.178,0.22,"Debugging/Troubleshooting","Beginner",3,"TRUE",1,3,"Actively_Encouraged",3,3.276,66.53,"Low"
114254,"Arts","Senior",3.149,32.33,"Debugging/Troubleshooting","Beginner",1,"TRUE",5.54,8,"Actively_Encouraged",6,3.26,78.33,"High"
128536,"Business","Sophomore",2.722,4.24,"Summarizing_Reading","Advanced",3,"TRUE",19.98,3,"Allowed_With_Citation",1,3.075,87.51,"Medium"
101937,"STEM","Graduate",3.529,12.86,"Debugging/Troubleshooting","Beginner",1,"FALSE",6.6,3,"Actively_Encouraged",3,3.785,86.17,"Medium"
108831,"Humanities","Junior",3.04,8.91,"Summarizing_Reading","Beginner",2,"FALSE",4.43,3,"Allowed_With_Citation",4,3.221,83.07,"Medium"
101657,"Business","Sophomore",3.296,8.82,"Ideation","Intermediate",5,"FALSE",4.03,4,"Allowed_With_Citation",3,3.311,74.07,"Low"
113250,"Humanities","Sophomore",3.727,9.79,"Copywriting/Drafting","Intermediate",5,"FALSE",7.93,5,"Actively_Encouraged",6,3.759,89.11,"High"
138591,"STEM","Freshman",3.53,1.43,"Debugging/Troubleshooting","Advanced",5,"FALSE",NA,3,"Allowed_With_Citation",2,3.86,80,"Low"
111174,"Business","Senior",3.761,1.03,"Ideation","Advanced",3,"FALSE",13.89,2,"Allowed_With_Citation",5,3.987,85.64,"Medium"
147738,"Business","Freshman",2.757,10.27,"Summarizing_Reading","Advanced",3,"FALSE",7.35,6,"Actively_Encouraged",4,2.877,78.55,"High"
107127,"STEM","Sophomore",3.301,2.58,"Direct_Answer_Generation","Advanced",3,"TRUE",16.96,4,"Allowed_With_Citation",8,3.26,85.81,"Low"
106660,"STEM","Junior",3.615,12.41,"Summarizing_Reading","Beginner",3,"TRUE",3.97,4,"Allowed_With_Citation",4,3.595,61.78,"High"
127934,"Arts","Graduate",2.095,2,"Direct_Answer_Generation","Intermediate",3,"FALSE",12.65,1,"Allowed_With_Citation",3,2.53,79.54,"Medium"
132528,"Humanities","Junior",2.57,26.96,"Direct_Answer_Generation","Advanced",3,"FALSE",1.55,6,"Allowed_With_Citation",6,2.386,60.54,"High"
145880,"STEM","Junior",3.439,0.17,"Debugging/Troubleshooting","Advanced",5,"FALSE",15.82,4,"Allowed_With_Citation",3,3.509,89.95,"Medium"
108229,"Business","Freshman",2.788,5.9,"Ideation","Beginner",1,"TRUE",9.79,4,"Strict_Ban",4,2.581,69.99,"High"
121828,"Business","Sophomore",3.637,20.01,"Ideation","Beginner",3,"TRUE",8.97,5,"Actively_Encouraged",5,3.746,69.01,"High"
118372,"Business","Sophomore",3.047,7.24,"Direct_Answer_Generation","Intermediate",3,"TRUE",7.36,6,"Allowed_With_Citation",5,3.218,82.88,"Medium"
127012,"Humanities","Freshman",3.268,22.03,"Copywriting/Drafting","Beginner",3,"TRUE",14.55,4,"Allowed_With_Citation",1,3.576,58.74,"High"
132362,"Humanities","Sophomore",2.46,6,"Copywriting/Drafting","Intermediate",1,"FALSE",16.12,3,"Allowed_With_Citation",2,2.638,81.15,"Medium"
119617,"Business","Graduate",3.757,9.38,"Summarizing_Reading","Beginner",3,"FALSE",14,4,"Allowed_With_Citation",2,4,63.57,"Low"
103844,"Humanities","Sophomore",2.653,2.03,"Copywriting/Drafting","Advanced",3,"FALSE",16.87,4,"Actively_Encouraged",6,3.118,83.43,"Medium"
120552,"Humanities","Senior",2.882,0.25,"Direct_Answer_Generation","Beginner",2,"FALSE",12.01,3,"Allowed_With_Citation",6,3.271,65.31,"Low"
147083,"Humanities","Graduate",3.394,0.22,"Copywriting/Drafting","Advanced",5,"TRUE",15.36,2,"Strict_Ban",2,3.535,74.1,"Low"
128157,"STEM","Graduate",3.476,0.98,"Copywriting/Drafting","Intermediate",2,"FALSE",3.05,3,"Strict_Ban",3,3.488,76.06,"Low"
108304,"STEM","Graduate",3.157,0,"Debugging/Troubleshooting","Advanced",1,"TRUE",23.72,10,"Actively_Encouraged",3,3.457,86.72,"Medium"
127020,"Arts","Graduate",2.262,3.93,"Ideation","Beginner",1,"TRUE",13.06,3,"Allowed_With_Citation",6,2.447,49.01,"High"
146501,"Humanities","Freshman",3.694,0.5,"Summarizing_Reading","Intermediate",2,"FALSE",15.47,2,"Strict_Ban",1,3.905,69.47,"Low"
129091,"Arts","Graduate",2.478,0.04,"Copywriting/Drafting","Intermediate",3,"TRUE",11.88,2,"Allowed_With_Citation",3,2.668,85.8,"Low"
135151,"Business","Junior",2.718,13.24,"Direct_Answer_Generation","Beginner",1,"FALSE",9.24,6,"Allowed_With_Citation",2,2.935,89.8,"Medium"
144145,"Humanities","Junior",2.895,7.03,"Copywriting/Drafting","Intermediate",2,"FALSE",6.32,2,"Actively_Encouraged",8,2.849,73.8,"Low"
123441,"Medical","Junior",3.566,4.36,"Copywriting/Drafting","Beginner",3,"FALSE",12.65,4,"Allowed_With_Citation",4,3.95,83.68,"Medium"
132913,"Humanities","Graduate",3.475,12.31,"Debugging/Troubleshooting","Beginner",1,"TRUE",1.37,3,"Strict_Ban",8,3.613,66.07,"Medium"
142997,"Humanities","Freshman",2.101,2.41,"Debugging/Troubleshooting","Advanced",3,"FALSE",12.48,3,"Allowed_With_Citation",2,2.501,72.15,"Medium"
115940,"Medical","Junior",2.446,2.48,"Summarizing_Reading","Intermediate",2,"FALSE",18.32,1,"Allowed_With_Citation",1,2.65,79.2,"Low"
104415,"Humanities","Sophomore",3.272,5.84,"Copywriting/Drafting","Beginner",3,"FALSE",6.37,1,"Allowed_With_Citation",4,3.583,59.82,"Medium"
121602,"Arts","Graduate",3.447,5.36,"Direct_Answer_Generation","Intermediate",2,"TRUE",14.37,1,"Allowed_With_Citation",4,3.754,92.93,"High"
129136,"Business","Freshman",2.264,1.66,"Ideation","Intermediate",3,"FALSE",15.3,1,"Actively_Encouraged",7,2.383,96.93,"Low"
113666,"Medical","Freshman",3.34,10.37,"Summarizing_Reading","Intermediate",4,"FALSE",12,4,"Strict_Ban",4,3.723,77,"Medium"
144543,"Business","Senior",2.638,12.3,"Ideation","Beginner",1,"FALSE",12.11,4,"Actively_Encouraged",3,2.771,85.92,"Low"
140069,"Humanities","Sophomore",3.263,1.17,"Copywriting/Drafting","Intermediate",4,"FALSE",9.6,2,"Actively_Encouraged",8,3.268,62.18,"Low"
109372,"STEM","Junior",3.7,4.77,"Debugging/Troubleshooting","Advanced",4,"TRUE",5.93,2,"Allowed_With_Citation",7,4,99.12,"Low"
116867,"Arts","Freshman",2.771,18.74,"Copywriting/Drafting","Beginner",3,"TRUE",16.65,3,"Actively_Encouraged",5,3.349,60.81,"Low"
124512,"Business","Graduate",3.191,10.99,"Ideation","Intermediate",5,"FALSE",10.95,4,"Actively_Encouraged",1,3.454,66.22,"Low"
102375,"Business","Graduate",2.524,25.54,"Ideation","Beginner",2,"TRUE",2.29,8,"Allowed_With_Citation",4,2.59,56.06,"High"
118337,"Arts","Junior",3.488,4.67,"Copywriting/Drafting","Beginner",2,"FALSE",6.71,2,"Actively_Encouraged",5,3.728,84.35,"Medium"
139955,"Humanities","Senior",2.359,4.15,"Summarizing_Reading","Intermediate",4,"FALSE",15.8,4,"Allowed_With_Citation",4,2.87,58.61,"High"
149734,"STEM","Junior",3.802,8.63,"Ideation","Intermediate",3,"FALSE",20.94,4,"Actively_Encouraged",6,4,81.26,"Low"
123540,"Business","Freshman",2.951,14.12,"Ideation","Advanced",3,"FALSE",8.37,3,"Strict_Ban",7,2.838,65.42,"High"
145830,"STEM","Sophomore",3.299,24.29,"Direct_Answer_Generation","Beginner",2,"FALSE",1,4,"Strict Ban",5,3.164,47.57,"High"
138059,"Medical","Freshman",2.403,9.5,"Summarizing_Reading","Beginner",3,"FALSE",13.49,1,"Strict_Ban",5,2.564,86,"Medium"
129023,"STEM","Graduate",3.161,3.87,"Summarizing_Reading","Intermediate",5,"TRUE",18.44,1,"Actively_Encouraged",4,3.473,95.2,"Medium"
107270,"Humanities","Senior",2.307,9.35,"Summarizing_Reading","Intermediate",1,"FALSE",5.01,4,"Actively_Encouraged",2,2.771,79.54,"Medium"
111335,"STEM","Sophomore",3.485,2.48,"Debugging/Troubleshooting","Advanced",4,"TRUE",9.02,1,"Allowed_With_Citation",5,3.91,72.84,"Low"
135132,"Arts","Junior",3.295,4.15,"Copywriting/Drafting","Intermediate",1,"FALSE",9.48,1,"Actively_Encouraged",1,3.221,73.28,"Low"
116160,"STEM","Junior",3.448,12.61,"Debugging/Troubleshooting","Beginner",1,"TRUE",1,3,"Actively_Encouraged",3,3.623,76.63,"Medium"
131531,"Humanities","Junior",3.511,17.92,"Copywriting/Drafting","Advanced",5,"TRUE",7.55,5,"Allowed_With_Citation",7,3.728,62.31,"High"
109688,"STEM","Junior",3.145,8.95,"Direct_Answer_Generation","Beginner",3,"FALSE",20.08,3,"Strict_Ban",6,3.513,100,"Medium"
123784,"Business","Graduate",3.123,2.34,"Summarizing_Reading","Beginner",1,"FALSE",6.52,2,"Allowed_With_Citation",2,3.564,73.01,"Medium"
128574,"Humanities","Sophomore",3.482,0.69,"Copywriting/Drafting","Intermediate",1,"TRUE",11.21,4,"Actively_Encouraged",2,3.535,66.96,"Medium"
105626,"Arts","Junior",3.569,11.37,"Copywriting/Drafting","Intermediate",3,"FALSE",4.3,6,"Allowed_With_Citation",6,3.735,87.72,"Medium"
142041,"Business","Graduate",2.355,25.55,"Ideation","Intermediate",1,"TRUE",18.18,4,"Allowed_With_Citation",4,2.748,95.34,"High"
104168,"STEM","Freshman",2.908,0.21,"Direct_Answer_Generation","Intermediate",2,"FALSE",16.58,3,"Allowed_With_Citation",3,3.189,65.31,"Low"
143427,"Art","Senior",3.331,0.92,"Direct_Answer_Generation","Advanced",5,"TRUE",4.3,2,"Actively_Encouraged",1,3.42,98.03,"Low"
127733,"Arts","Freshman",3.059,11.09,"Copywriting/Drafting","Advanced",4,"TRUE",12.84,5,"Allowed_With_Citation",6,3.163,88.98,"Low"
140707,"STEM","Freshman",3.345,10.89,"Debugging/Troubleshooting","Beginner",2,"TRUE",7.66,2,"Allowed_With_Citation",3,3.222,83.53,"Low"
141436,"Arts","Junior",3.045,3.4,"Summarizing_Reading","Advanced",3,"FALSE",16.36,5,"Strict_Ban",4,3.515,84.91,"Low"
141398,"STEM","Freshman",2.727,0.9,"Direct_Answer_Generation","Intermediate",3,"FALSE",18.31,3,"Allowed_With_Citation",4,2.715,64.02,"Low"
127244,"Medical","Junior",3.48,20.25,"Direct_Answer_Generation","Advanced",5,"FALSE",12.19,5,"Allowed_With_Citation",10,3.487,84.82,"High"
149179,"Arts","Senior",1.85,7.72,"Direct_Answer_Generation","Advanced",3,"FALSE",8.3,5,"Actively_Encouraged",4,1.982,63.4,"High"
119653,"Business","Sophomore",3.804,1.48,"Summarizing_Reading","Advanced",4,"FALSE",19.92,1,"Allowed_With_Citation",1,4,70.8,"Low"
131500,"STEM","Sophomore",3.06,15.36,"Debugging/Troubleshooting","Beginner",1,"FALSE",17.54,4,"Allowed_With_Citation",2,3.39,81.31,"Medium"
116043,"STEM","Sophomore",3.347,7.87,"Copywriting/Drafting","Beginner",1,"TRUE",20.25,2,"Actively_Encouraged",4,3.341,70.07,"Low"
143241,"STEM","Sophomore",2.222,7.08,"Copywriting/Drafting","Intermediate",2,"FALSE",11.11,4,"Actively_Encouraged",6,2.222,82.25,"Medium"
104208,"Business","Freshman",3.558,12.14,"Ideation","Beginner",1,"FALSE",10.44,4,"Allowed_With_Citation",6,3.7,65.76,"Low"
100590,"STEM","Senior",2.03,11.69,"Copywriting/Drafting","Advanced",5,"FALSE",9.37,3,"Actively_Encouraged",6,2.379,73.28,"Low"
128101,"STEM","Senior",2.493,15.52,"Debugging/Troubleshooting","Advanced",4,"TRUE",8.35,4,"Actively_Encouraged",1,2.961,78.32,"Medium"
106103,"Humanities","Sophomore",2.988,95,"Ideation","Intermediate",3,"TRUE",9.14,6,"Actively_Encouraged",7,2.996,86.49,"High"
146675,"Humanities","Freshman",2.789,12.67,"Copywriting/Drafting","Intermediate",3,"TRUE",8.03,5,"Strict_Ban",9,3.027,66.59,"LOW"
145406,"Arts","Junior",3.815,6.92,"Debugging/Troubleshooting","Beginner",2,"FALSE",9.94,2,"Actively_Encouraged",3,3.759,68.56,"Low"
138603,"Arts","Junior",3.022,0.84,"Copywriting/Drafting","Intermediate",1,"FALSE",11.05,1,"Actively_Encouraged",2,3.149,62.63,"Low"
123599,"STEM","Graduate",3.192,0.72,"Ideation","Intermediate",1,"TRUE",8.75,1,"Allowed_With_Citation",4,3.385,61.79,"Medium"
139298,"Arts","Freshman",3.304,17.21,"Ideation","Beginner",1,"TRUE",10.95,4,"Actively_Encouraged",5,3.645,73.26,"Low"
128770,"STEM","Junior",3.727,6.45,"Debugging/Troubleshooting","Advanced",5,"TRUE",16.08,3,"Allowed_With_Citation",1,4,97.57,"Low"
124436,"STEM","Graduate",3.387,29.15,"Copywriting/Drafting","Beginner",1,"TRUE",10.27,5,"Strict_Ban",9,3.651,61.12,"High"
143087,"Medical","Junior",3.319,12.25,"Summarizing_Reading","Beginner",3,"TRUE",13.6,5,"Allowed_With_Citation",6,3.429,53.86,"High"
105471,"Business","Senior",2.891,2.22,"Summarizing_Reading","Beginner",3,"FALSE",5.88,5,"Strict_Ban",6,2.791,64.73,"Medium"
138209,"Business","Sophomore",3.445,6.63,"Ideation","Beginner",1,"TRUE",14.59,3,"Allowed_With_Citation",4,3.455,73.72,"Medium"
102467,"Humanties","Senior",3.045,0.16,"Copywriting/Drafting","Intermediate",3,"TRUE",6.7,1,"Allowed_With_Citation",5,3.457,62.36,"Medium"
116783,"STEM","Freshman",3.536,9.33,"Summarizing_Reading","Beginner",1,"FALSE",13.31,2,"Actively_Encouraged",4,3.744,79.51,"Low"
134589,"STEM","Graduate",3.186,6.65,"Direct_Answer_Generation","Beginner",2,"FALSE",12.02,1,"Allowed_With_Citation",4,3.811,59.62,"High"
101876,"Business","Sophomore",3.005,14.76,"Debugging/Troubleshooting","Advanced",5,"FALSE",12.94,4,"Allowed_With_Citation",3,3.447,61.23,"Medium"
133408,"Medical","Sophomore",3.2,22.96,"Summarizing_Reading","Intermediate",4,"FALSE",12.95,5,"Allowed_With_Citation",4,3.665,100,"High"
131665,"Medical","Junior",3.659,5.56,"Summarizing_Reading","Beginner",3,"FALSE",17.87,2,"Strict_Ban",6,4,84.13,"Low"
111586,"Business","Sophomore",2.801,8.3,"Debugging/Troubleshooting","Intermediate",2,"TRUE",5.13,3,"Strict_Ban",1,2.747,74.77,"Medium"
114420,"STEM","Junior",3.78,12.33,"Direct_Answer_Generation","Intermediate",1,"FALSE",10.52,4,"Allowed_With_Citation",5,4,52.41,"Medium"
148093,"Humanities","Graduate",3.611,4.15,"Copywriting/Drafting","Intermediate",5,"FALSE",14.35,5,"Actively_Encouraged",3,3.731,72.37,"Medium"
131177,"Humanities","Freshman",3.841,4.47,"Copywriting/Drafting","Advanced",3,"TRUE",8.12,4,"Strict_Ban",4,4,80.27,"Medium"
143097,"STEM","Junior",2.86,8.35,"Copywriting/Drafting","Intermediate",2,"TRUE",6.96,6,"Allowed_With_Citation",3,3.114,NA,"Low"
145517,"Arts","Freshman",2.866,6.98,"Debugging/Troubleshooting","Intermediate",5,"FALSE",2.99,3,"Allowed_With_Citation",4,2.914,72.07,"Medium"
146650,"Business","Freshman",3.854,0.56,"Copywriting/Drafting","Beginner",1,"FALSE",15.5,2,"Allowed_With_Citation",2,4,60.05,"Low"
102112,"STEM","Freshman",3.52,9.55,"Ideation","Advanced",3,"1",13.32,5,"Strict_Ban",2,3.613,67.2,"High"
137164,"Humanities","Graduate",3.413,0.85,"Summarizing_Reading","Advanced",4,"FALSE",11.13,4,"Strict_Ban",6,3.687,60.68,"Medium"
117626,"Humanities","Senior",2.781,1.83,"Copywriting/Drafting","Intermediate",3,"TRUE",19.99,1,"Allowed_With_Citation",4,3.035,67.09,"Medium"
134394,"Humanities","Sophomore",3.422,12.77,"Summarizing_Reading","Advanced",4,"TRUE",7.73,2,"Actively_Encouraged",1,3.736,NA,"Low"
135485,"STEM","Senior",3.858,15.14,"Copywriting/Drafting","Beginner",3,"FALSE",1,5,"Allowed_With_Citation",5,3.82,40.63,"High"
131687,"STEM","Junior",3.599,3.35,"Summarizing_Reading",NA,3,"TRUE",11.57,4,"Actively_Encouraged",6,3.658,93.28,"Low"
139253,"STEM","Freshman",3.026,32.6,"Direct_Answer_Generation","Advanced",3,"TRUE",2.05,10,"Actively_Encouraged",7,2.331,38.76,"High"
121155,"STEM","Freshman",3.247,21.05,"Summarizing_Reading","Beginner",1,"TRUE",14.91,5,"Actively_Encouraged",2,3.367,81.39,"High"
123131,"Arts","Sophomore",3.894,13.21,"Summarizing_Reading","Intermediate",4,"FALSE",8.15,7,"Actively_Encouraged",6,4,100,"Low"
110915,"Arts","Sophomore",2.77,2.23,"Summarizing_Reading","Advanced",3,"TRUE",12.16,1,"Actively_Encouraged",4,2.982,77.84,"Medium"
148016,"STEM","Freshman",3.362,0.66,"Debugging/Troubleshooting","Beginner",2,"TRUE",11.03,3,"Allowed_With_Citation",4,3.395,62.27,"Low"
143708,"Humanities","Junior",3.224,NA,"Copywriting/Drafting","Beginner",3,"TRUE",6.62,4,"Strict_Ban",4,3.516,60.2,"Medium"
103070,"Business","Freshman",3.592,3.35,"Direct_Answer_Generation","Beginner",1,"TRUE",20.13,2,"Actively_Encouraged",4,3.96,68.79,"Low"
104745,"STEM","Senior",3.136,11.38,"Direct_Answer_Generation","Intermediate",4,"TRUE",3.39,2,"Actively_Encouraged",1,3.71,66.38,"Medium"
119965,"STEM","Senior",3.729,14.06,"Direct_Answer_Generation","Intermediate",1,"TRUE",16.23,2,"Allowed_With_Citation",3,3.823,74.66,"Low"
122218,"Business","Sophomore",3.158,16.33,"Summarizing_Reading","Intermediate",3,"TRUE",15.54,5,"Allowed_With_Citation",5,3.5,89.21,"Medium"
130745,"Business","Senior",3.274,2.9,"Ideation","Beginner",3,"FALSE",6.95,3,"Actively_Encouraged",5,3.438,74.31,"Medium"
103753,"Humanities","Sophomore",3.562,3.39,"Debugging/Troubleshooting","Beginner",2,"TRUE",15.11,4,"Actively_Encouraged",4,3.724,59.27,"Medium"
103302,"Medical","Sophomore",3.48,9.62,"Summarizing_Reading","Intermediate",5,"FALSE",14.9,5,"Actively_Encouraged",1,3.611,75.7,"Low"
102436,"Humanities","Sophomore",2.855,10.77,"Copywriting/Drafting","Intermediate",2,"TRUE",9.37,4,"Actively_Encouraged",6,2.925,67.55,"Medium"
112966,"STEM","Junior",3.289,0.21,"Ideation","Intermediate",3,"TRUE",17.6,1,"Strict_Ban",3,3.636,58.32,"Low"
128418,"STEM","Sophomore",3.843,14.58,"Debugging/Troubleshooting","Beginner",1,"TRUE",12.76,4,"Allowed_With_Citation",5,4,75.48,"Low"
119774,"Medical","Senior",3.71,0.13,"Debugging/Troubleshooting","Beginner",2,"FALSE",13.75,3,"Allowed_With_Citation",5,3.882,60.2,"Low"
117202,"Business","Freshman",2.638,4.07,"Debugging/Troubleshooting","Advanced",3,"FALSE",4.72,3,"Strict_Ban",3,2.684,87.86,"High"
110461,"Business","Senior",3.182,11.3,"Summarizing_Reading","Intermediate",3,"TRUE",13.86,6,"Actively_Encouraged",2,3.242,89.73,"Medium"
115345,"Business","Senior",3.62,2.5,"Ideation","Intermediate",3,"TRUE",4.67,3,"Allowed_With_Citation",4,3.892,68.71,"Medium"
123652,"STEM","Freshman",2.851,5.61,"Direct_Answer_Generation","Intermediate",2,"TRUE",13.99,3,"Allowed_With_Citation",6,3.134,80.99,"Medium"
102895,"STEM","Graduate",3.843,9.27,"Debugging/Troubleshooting","Beginner",3,"FALSE",13.09,4,"Allowed_With_Citation",5,4,86.16,"Medium"
116562,"Arts","Junior",3.77,0.28,"Summarizing_Reading",NA,4,"TRUE",18.92,4,"Actively_Encouraged",6,4,76.36,"Medium"
137841,"STEM","Y3",3.261,2.99,"Debugging/Troubleshooting","Beginner",1,"TRUE",13.32,4,"Allowed_With_Citation",1,3.574,67.97,"Low"
129025,"Business","Senior",3.038,1.66,"Ideation","Intermediate",3,"FALSE",6.49,2,"Allowed_With_Citation",5,3.093,83.39,"Medium"
128158,"Business","Graduate",3.826,3.87,"Ideation","Beginner",3,"TRUE",19.53,2,"Strict_Ban",6,4,54.01,"Low"
131954,"Arts","Senior",3.127,0.75,"Copywriting/Drafting",NA,1,"FALSE",15.09,1,"Actively_Encouraged",3,3.407,61.33,"Medium"
141440,"Humanities","Freshman",3.612,4.22,"Summarizing_Reading","Advanced",5,"FALSE",1,2,"Allowed_With_Citation",2,3.504,57.47,"Low"
149396,"Business","Sophomore",3.27,2.9,"Summarizing_Reading","Intermediate",5,"TRUE",4.87,5,"Allowed_With_Citation",4,3.425,67.2,"Medium"
123698,"Business","Junior",3.293,3.17,"Debugging/Troubleshooting","Intermediate",1,"FALSE",12.15,2,"Allowed_With_Citation",4,3.488,76.98,"Low"
106621,"STEM","Senior",3.395,120,"Debugging/Troubleshooting","Beginner",2,"FALSE",10.99,1,"Allowed_With_Citation",6,3.523,56.26,"Medium"
140450,"Humanities","Freshman",3.205,24.25,"Debugging/Troubleshooting","Intermediate",1,"FALSE",12.6,7,"Actively_Encouraged",3,3.447,97.54,"High"
132631,"Business","Senior",3.624,2.9,"Ideation","Beginner",2,"FALSE",16.24,3,"Strict_Ban",4,4,72.89,"Low"
139148,"Business","Sophomore",3.673,1.07,"Copywriting/Drafting","Beginner",1,"FALSE",4.17,4,"Actively_Encouraged",1,3.48,50.2,"Medium"
127542,"Business","Senior",1.433,0.29,"Direct_Answer_Generation","Intermediate",3,"FALSE",22.45,3,"Actively_Encouraged",4,1.565,66.77,"Medium"
140781,"Humanities","Freshman",3.468,11.02,"Summarizing_Reading","Intermediate",3,"TRUE",1,2,"Actively_Encouraged",3,3.504,64.16,"Medium"
